term,resource,domain,definition,data_type,format,required,terminology_binding,classification,ferpa,glba,source_file
helix_id,AcademicOrg,Academic Structure,,string,uuid,True,,internal,False,False,core/resources/academic_org.json
institution_id,AcademicOrg,Academic Structure,,string,,True,,internal,False,False,core/resources/academic_org.json
code,AcademicOrg,Academic Structure,"Internal org code (e.g., 'ENGR', 'A&S', 'CS')",string,,False,,internal,False,False,core/resources/academic_org.json
name,AcademicOrg,Academic Structure,"Official name (e.g., 'College of Engineering', 'Department of Computer Science')",string,,True,,internal,False,False,core/resources/academic_org.json
short_name,AcademicOrg,Academic Structure,,string,,False,,internal,False,False,core/resources/academic_org.json
org_type,AcademicOrg,Academic Structure,,string,,True,"enum: college, school, division, department, program_area...",internal,False,False,core/resources/academic_org.json
parent_org_ref,AcademicOrg,Academic Structure,HELIX ID of the parent AcademicOrg. Null for top-level orgs.,string,,False,,internal,False,False,core/resources/academic_org.json
dean_or_chair,AcademicOrg,Academic Structure,Name or reference to the org leader,string,,False,,internal,False,False,core/resources/academic_org.json
is_active,AcademicOrg,Academic Structure,,boolean,,False,,internal,False,False,core/resources/academic_org.json
effective_date,AcademicOrg,Academic Structure,,string,date,False,,internal,False,False,core/resources/academic_org.json
end_date,AcademicOrg,Academic Structure,,string,date,False,,internal,False,False,core/resources/academic_org.json
helix_id,AcademicPeriod,Academic Structure,,string,uuid,True,,public,False,False,core/resources/academic_period.json
institution_id,AcademicPeriod,Academic Structure,,string,,True,,public,False,False,core/resources/academic_period.json
period_type,AcademicPeriod,Academic Structure,,string,,True,"enum: semester, quarter, trimester, session, mini_term...",public,False,False,core/resources/academic_period.json
code,AcademicPeriod,Academic Structure,"Institution's native term code (e.g., '202610', 'Fall 2026')",string,,True,,public,False,False,core/resources/academic_period.json
name,AcademicPeriod,Academic Structure,,string,,False,,public,False,False,core/resources/academic_period.json
academic_year,AcademicPeriod,Academic Structure,"Academic year in YYYY-YYYY format (e.g., '2026-2027')",string,,False,,public,False,False,core/resources/academic_period.json
start_date,AcademicPeriod,Academic Structure,,string,date,True,,public,False,False,core/resources/academic_period.json
end_date,AcademicPeriod,Academic Structure,,string,date,True,,public,False,False,core/resources/academic_period.json
census_date,AcademicPeriod,Academic Structure,,string,date,False,,public,False,False,core/resources/academic_period.json
is_active,AcademicPeriod,Academic Structure,,boolean,,False,,public,False,False,core/resources/academic_period.json
helix_id,AdmissionApplication,Enrollment & Registration,,string,uuid,True,,confidential,True,False,core/resources/admission_application.json
student_ref,AdmissionApplication,Enrollment & Registration,HELIX ID of the Student/Person (applicant),string,,True,,confidential,True,False,core/resources/admission_application.json
institution_id,AdmissionApplication,Enrollment & Registration,,string,,True,,confidential,True,False,core/resources/admission_application.json
application_number,AdmissionApplication,Enrollment & Registration,Institution-assigned application number,string,,False,,confidential,True,False,core/resources/admission_application.json
application_type,AdmissionApplication,Enrollment & Registration,,string,,True,"enum: first_time_freshman, transfer, readmit, graduate, professional...",confidential,True,False,core/resources/admission_application.json
admit_period_ref,AdmissionApplication,Enrollment & Registration,HELIX ID of the AcademicPeriod the applicant is applying for,string,,True,,confidential,True,False,core/resources/admission_application.json
program_ref,AdmissionApplication,Enrollment & Registration,HELIX ID of the intended Program,string,,False,,confidential,True,False,core/resources/admission_application.json
application_status,AdmissionApplication,Enrollment & Registration,Bound to helix/admission-status terminology,string,,True,helix/admission-status,confidential,True,False,core/resources/admission_application.json
decision_date,AdmissionApplication,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/admission_application.json
enrollment_deposit_paid,AdmissionApplication,Enrollment & Registration,,boolean,,False,,confidential,True,False,core/resources/admission_application.json
enrollment_deposit_date,AdmissionApplication,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/admission_application.json
enrollment_intent,AdmissionApplication,Enrollment & Registration,Whether the admitted student intends to enroll,string,,False,"enum: confirmed, declined, no_response, pending",confidential,True,False,core/resources/admission_application.json
submitted_date,AdmissionApplication,Enrollment & Registration,,string,date,False,,confidential,True,False,core/resources/admission_application.json
